Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.6202156862745098,0.05660424338412105,BASC197,tangent,f_class
2,0.6310980392156863,0.0425946443738514,BASC197,tangent,f_class
3,0.6219019607843138,0.056685596268349736,BASC197,tangent,f_class
4,0.6220196078431373,0.06387253321896483,BASC197,tangent,f_class
5,0.6339803921568626,0.04977689941623565,BASC197,tangent,f_class
6,0.6309411764705882,0.05484561534426748,BASC197,tangent,f_class
7,0.6330392156862745,0.04550492070683323,BASC197,tangent,f_class
8,0.6350588235294117,0.04387005031771553,BASC197,tangent,f_class
9,0.6399803921568628,0.03121473173237571,BASC197,tangent,f_class
10,0.6449803921568628,0.039567364289288094,BASC197,tangent,f_class
11,0.6429215686274511,0.0530878469379093,BASC197,tangent,f_class
12,0.6439607843137255,0.044752710252801066,BASC197,tangent,f_class
13,0.6459803921568626,0.042948987560680704,BASC197,tangent,f_class
14,0.6598039215686274,0.043516956352622815,BASC197,tangent,f_class
15,0.6637450980392157,0.043066024077394,BASC197,tangent,f_class
16,0.6687647058823529,0.03369595720139983,BASC197,tangent,f_class
17,0.6626666666666667,0.0479806125142179,BASC197,tangent,f_class
18,0.6676862745098039,0.0469177460484989,BASC197,tangent,f_class
19,0.6706862745098039,0.04797492697065096,BASC197,tangent,f_class
20,0.6697450980392157,0.051422072372717134,BASC197,tangent,f_class
21,0.6677647058823528,0.04300605717197789,BASC197,tangent,f_class
22,0.6567843137254903,0.04634915879860115,BASC197,tangent,f_class
23,0.6588235294117647,0.04267497396059528,BASC197,tangent,f_class
24,0.6628235294117647,0.03719016046444289,BASC197,tangent,f_class
25,0.6667843137254902,0.043147253743138506,BASC197,tangent,f_class
26,0.6657843137254902,0.03874712723907472,BASC197,tangent,f_class
27,0.665764705882353,0.041772364206257684,BASC197,tangent,f_class
28,0.6638235294117647,0.038702947024998484,BASC197,tangent,f_class
29,0.6647843137254902,0.04508424341418121,BASC197,tangent,f_class
30,0.6648235294117646,0.04191588215069069,BASC197,tangent,f_class
31,0.6718039215686276,0.04270314544966982,BASC197,tangent,f_class
32,0.6748039215686275,0.03792617629204573,BASC197,tangent,f_class
33,0.6747843137254901,0.04095234991396204,BASC197,tangent,f_class
34,0.6798235294117647,0.0378313961263918,BASC197,tangent,f_class
35,0.6827647058823529,0.034061984117408795,BASC197,tangent,f_class
36,0.6807843137254902,0.037813968236243424,BASC197,tangent,f_class
37,0.6786862745098039,0.039776195308088916,BASC197,tangent,f_class
38,0.6817058823529412,0.03524419672141054,BASC197,tangent,f_class
39,0.6797058823529412,0.03558834332614726,BASC197,tangent,f_class
40,0.6787647058823529,0.033062573927242066,BASC197,tangent,f_class
41,0.6747647058823529,0.038001907113356964,BASC197,tangent,f_class
42,0.6777450980392157,0.031889280052042585,BASC197,tangent,f_class
43,0.6746862745098039,0.03708956604310256,BASC197,tangent,f_class
44,0.6727058823529412,0.04426657217093621,BASC197,tangent,f_class
45,0.6697450980392157,0.039222455298152,BASC197,tangent,f_class
46,0.6757254901960785,0.03940237913803928,BASC197,tangent,f_class
47,0.6777254901960784,0.03276296330776388,BASC197,tangent,f_class
48,0.6827450980392158,0.028363272058164295,BASC197,tangent,f_class
49,0.6807254901960784,0.033147237155252134,BASC197,tangent,f_class
50,0.6817058823529412,0.03491485221272637,BASC197,tangent,f_class
51,0.6847058823529413,0.03478234625379485,BASC197,tangent,f_class
52,0.6827058823529412,0.03323605181622272,BASC197,tangent,f_class
53,0.6866470588235295,0.032552025611252144,BASC197,tangent,f_class
54,0.6866470588235293,0.03255202561125215,BASC197,tangent,f_class
55,0.6936274509803921,0.02965212245376493,BASC197,tangent,f_class
56,0.6956078431372548,0.03117230210139528,BASC197,tangent,f_class
57,0.6976274509803921,0.03513159202441491,BASC197,tangent,f_class
58,0.6966274509803921,0.0383904143488876,BASC197,tangent,f_class
59,0.6936274509803921,0.03923325586811615,BASC197,tangent,f_class
60,0.6916470588235294,0.03575141651963348,BASC197,tangent,f_class
61,0.6926274509803921,0.03648072808651729,BASC197,tangent,f_class
62,0.6916470588235294,0.03490220312760101,BASC197,tangent,f_class
63,0.689607843137255,0.041702798635960985,BASC197,tangent,f_class
64,0.6926274509803922,0.03788803594769535,BASC197,tangent,f_class
65,0.6945882352941177,0.043329269616926736,BASC197,tangent,f_class
66,0.6916862745098039,0.0368205014520695,BASC197,tangent,f_class
67,0.6985686274509805,0.040445144190388464,BASC197,tangent,f_class
68,0.697607843137255,0.03775289453474572,BASC197,tangent,f_class
69,0.6926274509803921,0.03545499283210105,BASC197,tangent,f_class
70,0.6926470588235294,0.03668000701013762,BASC197,tangent,f_class
71,0.6896666666666667,0.03695067214870989,BASC197,tangent,f_class
72,0.6946078431372549,0.03537161969997872,BASC197,tangent,f_class
73,0.6966078431372549,0.03363108652387884,BASC197,tangent,f_class
74,0.6956470588235294,0.031203318073940944,BASC197,tangent,f_class
75,0.6956470588235293,0.02988093764339213,BASC197,tangent,f_class
76,0.7006470588235294,0.0261036366472757,BASC197,tangent,f_class
77,0.6986078431372549,0.03227065590599057,BASC197,tangent,f_class
78,0.6976274509803921,0.03026189033950812,BASC197,tangent,f_class
79,0.6966470588235294,0.0318017757550812,BASC197,tangent,f_class
80,0.6906666666666665,0.03444805080896038,BASC197,tangent,f_class
81,0.697607843137255,0.03800663654385104,BASC197,tangent,f_class
82,0.6917058823529411,0.03509870193261943,BASC197,tangent,f_class
83,0.6896470588235294,0.042670270897364124,BASC197,tangent,f_class
84,0.694607843137255,0.03987950420735797,BASC197,tangent,f_class
85,0.6936274509803921,0.038720128693136735,BASC197,tangent,f_class
86,0.6975882352941177,0.041890086126049296,BASC197,tangent,f_class
87,0.697607843137255,0.0371567127111669,BASC197,tangent,f_class
88,0.6956078431372549,0.0388207762937478,BASC197,tangent,f_class
89,0.6965686274509804,0.04358751201185165,BASC197,tangent,f_class
90,0.6945882352941177,0.04141371430348418,BASC197,tangent,f_class
91,0.6945882352941176,0.041701065385512784,BASC197,tangent,f_class
92,0.6935882352941176,0.04119654505993249,BASC197,tangent,f_class
93,0.6915686274509805,0.04402639800898458,BASC197,tangent,f_class
94,0.6866274509803922,0.04613786738258327,BASC197,tangent,f_class
95,0.6906078431372549,0.0425586372070667,BASC197,tangent,f_class
96,0.6915490196078431,0.045891523300099074,BASC197,tangent,f_class
97,0.6866078431372549,0.04350096668199867,BASC197,tangent,f_class
98,0.6885882352941177,0.04578738285888093,BASC197,tangent,f_class
99,0.689607843137255,0.0451308491050832,BASC197,tangent,f_class
100,0.6876470588235295,0.040075188848534116,BASC197,tangent,f_class
