,Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
0,1,0.5555294117647059,0.054786348861100245,harvard_oxford,tangent,f_class
1,2,0.5863137254901961,0.05672585280107499,harvard_oxford,tangent,f_class
2,3,0.5793333333333334,0.053943753012213345,harvard_oxford,tangent,f_class
3,4,0.5870980392156862,0.05394871331014363,harvard_oxford,tangent,f_class
4,5,0.5860784313725491,0.05967997441692839,harvard_oxford,tangent,f_class
5,6,0.5921764705882354,0.06613998703831654,harvard_oxford,tangent,f_class
6,7,0.5831960784313726,0.06772011116620334,harvard_oxford,tangent,f_class
7,8,0.5694117647058823,0.05653835802788266,harvard_oxford,tangent,f_class
8,9,0.5892941176470587,0.05477914835222011,harvard_oxford,tangent,f_class
9,10,0.5832941176470589,0.06529675552582344,harvard_oxford,tangent,f_class
10,11,0.5773529411764706,0.05077683721178224,harvard_oxford,tangent,f_class
11,12,0.5852745098039216,0.05122884030700194,harvard_oxford,tangent,f_class
12,13,0.5891764705882353,0.05967558070700431,harvard_oxford,tangent,f_class
13,14,0.6031176470588235,0.05268503395432299,harvard_oxford,tangent,f_class
14,15,0.6060588235294118,0.056626924797946426,harvard_oxford,tangent,f_class
15,16,0.6179607843137255,0.0618434729621485,harvard_oxford,tangent,f_class
16,17,0.611,0.05980883618507508,harvard_oxford,tangent,f_class
17,18,0.607,0.06758792812094229,harvard_oxford,tangent,f_class
18,19,0.5941372549019609,0.054461641157375965,harvard_oxford,tangent,f_class
19,20,0.5959803921568627,0.06773976313377139,harvard_oxford,tangent,f_class
20,21,0.6001176470588235,0.05445117456382588,harvard_oxford,tangent,f_class
21,22,0.5991372549019607,0.060311392392213774,harvard_oxford,tangent,f_class
22,23,0.6000784313725491,0.06292365524864284,harvard_oxford,tangent,f_class
23,24,0.5980784313725491,0.05841240644948896,harvard_oxford,tangent,f_class
24,25,0.609,0.05564977055394433,harvard_oxford,tangent,f_class
25,26,0.6131176470588235,0.053721300108539705,harvard_oxford,tangent,f_class
26,27,0.6161176470588235,0.06564926086217061,harvard_oxford,tangent,f_class
27,28,0.6161176470588235,0.05898427709357988,harvard_oxford,tangent,f_class
28,29,0.6191568627450981,0.05613537832535621,harvard_oxford,tangent,f_class
29,30,0.6152352941176471,0.042644065705198436,harvard_oxford,tangent,f_class
30,31,0.6161372549019608,0.05713915576796879,harvard_oxford,tangent,f_class
31,32,0.6151176470588234,0.0624141671286429,harvard_oxford,tangent,f_class
32,33,0.6250784313725489,0.06491276789354843,harvard_oxford,tangent,f_class
33,34,0.6171372549019608,0.06829162651044236,harvard_oxford,tangent,f_class
34,35,0.6171764705882353,0.0549509025554363,harvard_oxford,tangent,f_class
35,36,0.6170392156862745,0.06921271170634397,harvard_oxford,tangent,f_class
36,37,0.6209803921568627,0.0713659768575043,harvard_oxford,tangent,f_class
37,38,0.6210588235294117,0.0611375693309652,harvard_oxford,tangent,f_class
38,39,0.6240392156862745,0.05761131344744331,harvard_oxford,tangent,f_class
39,40,0.6170980392156863,0.05318880359036183,harvard_oxford,tangent,f_class
40,41,0.621235294117647,0.050752435297050674,harvard_oxford,tangent,f_class
41,42,0.6071372549019607,0.04803803119788221,harvard_oxford,tangent,f_class
42,43,0.6151764705882352,0.03631891293994854,harvard_oxford,tangent,f_class
43,44,0.6022156862745097,0.047417104258272766,harvard_oxford,tangent,f_class
44,45,0.5972549019607843,0.042592550245425236,harvard_oxford,tangent,f_class
45,46,0.5912352941176471,0.04353356719257649,harvard_oxford,tangent,f_class
46,47,0.5941764705882353,0.05533867277360816,harvard_oxford,tangent,f_class
47,48,0.5852941176470589,0.050316262372428894,harvard_oxford,tangent,f_class
48,49,0.5832549019607842,0.04602342983535748,harvard_oxford,tangent,f_class
49,50,0.5932745098039216,0.03496019046486281,harvard_oxford,tangent,f_class
50,51,0.5981764705882353,0.04597535822605238,harvard_oxford,tangent,f_class
51,52,0.5941372549019609,0.051778552069757594,harvard_oxford,tangent,f_class
52,53,0.6021764705882353,0.050629975939830554,harvard_oxford,tangent,f_class
53,54,0.6081960784313725,0.035052528276318266,harvard_oxford,tangent,f_class
54,55,0.6082156862745098,0.03168975058588045,harvard_oxford,tangent,f_class
55,56,0.6091372549019608,0.038366612102971806,harvard_oxford,tangent,f_class
56,57,0.5951764705882352,0.04901860391128826,harvard_oxford,tangent,f_class
57,58,0.5881960784313726,0.048345625450419316,harvard_oxford,tangent,f_class
58,59,0.5892352941176471,0.05338625186071303,harvard_oxford,tangent,f_class
59,60,0.5831960784313724,0.056864574007099024,harvard_oxford,tangent,f_class
60,61,0.5741764705882353,0.061882368473369656,harvard_oxford,tangent,f_class
61,62,0.5671960784313725,0.052380696909156955,harvard_oxford,tangent,f_class
62,63,0.5573921568627452,0.03687734900539236,harvard_oxford,tangent,f_class
63,64,0.5643333333333335,0.03739287659835606,harvard_oxford,tangent,f_class
