Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.6031960784313726,0.052299675480478085,msdl,tangent,f_class
2,0.6021176470588234,0.06956644999576632,msdl,tangent,f_class
3,0.5873725490196078,0.03771421705931028,msdl,tangent,f_class
4,0.5973333333333334,0.03933210171473121,msdl,tangent,f_class
5,0.6002745098039216,0.04171903974908272,msdl,tangent,f_class
6,0.6102941176470588,0.03132327625783739,msdl,tangent,f_class
7,0.6141764705882353,0.04879887951644737,msdl,tangent,f_class
8,0.6449215686274511,0.03978473893026479,msdl,tangent,f_class
9,0.6430784313725489,0.025253052240141013,msdl,tangent,f_class
10,0.6399607843137255,0.02953761310998732,msdl,tangent,f_class
11,0.6429411764705882,0.040423650391291054,msdl,tangent,f_class
12,0.6400392156862745,0.03329511072677705,msdl,tangent,f_class
13,0.6420980392156863,0.037692175784110084,msdl,tangent,f_class
14,0.6440588235294117,0.035662893655063435,msdl,tangent,f_class
15,0.6362745098039216,0.04549678789292298,msdl,tangent,f_class
16,0.6343137254901959,0.03988497494610427,msdl,tangent,f_class
17,0.6333921568627452,0.055856481799481085,msdl,tangent,f_class
18,0.6244313725490196,0.03823853178851175,msdl,tangent,f_class
19,0.6333725490196078,0.03435580612997527,msdl,tangent,f_class
20,0.6125490196078431,0.04111797899760356,msdl,tangent,f_class
21,0.6146274509803922,0.05581063164981979,msdl,tangent,f_class
22,0.6134705882352941,0.0496821925989374,msdl,tangent,f_class
23,0.6115490196078431,0.05496980751796475,msdl,tangent,f_class
24,0.6054509803921568,0.044294963927024776,msdl,tangent,f_class
25,0.607313725490196,0.04864468780527256,msdl,tangent,f_class
26,0.6191568627450982,0.049693412211520994,msdl,tangent,f_class
27,0.6192745098039215,0.05636585126451608,msdl,tangent,f_class
28,0.6203529411764706,0.04467076364002531,msdl,tangent,f_class
29,0.6222156862745101,0.04370632218570198,msdl,tangent,f_class
30,0.622313725490196,0.04653687668897249,msdl,tangent,f_class
31,0.6162745098039216,0.04300559229749232,msdl,tangent,f_class
32,0.6261960784313725,0.03967720581497797,msdl,tangent,f_class
33,0.6181372549019608,0.04750905941653232,msdl,tangent,f_class
34,0.6241568627450981,0.041694113220908914,msdl,tangent,f_class
35,0.6182549019607843,0.04141633683167999,msdl,tangent,f_class
36,0.6022549019607844,0.04891221569598599,msdl,tangent,f_class
37,0.6003333333333333,0.06001730174737103,msdl,tangent,f_class
38,0.5994117647058823,0.04671993993349592,msdl,tangent,f_class
39,0.6004705882352941,0.06327121338867707,msdl,tangent,f_class
40,0.6093333333333332,0.06733072956240993,msdl,tangent,f_class
41,0.6073529411764705,0.057525231413136875,msdl,tangent,f_class
42,0.6063333333333333,0.050678294210015684,msdl,tangent,f_class
43,0.6172156862745097,0.053939234182891684,msdl,tangent,f_class
44,0.6252549019607843,0.05586018136017549,msdl,tangent,f_class
45,0.6142745098039215,0.03860801740667109,msdl,tangent,f_class
46,0.6162549019607843,0.03676828217899858,msdl,tangent,f_class
47,0.6290588235294117,0.036930351021959615,msdl,tangent,f_class
48,0.6271764705882353,0.034305231441685236,msdl,tangent,f_class
49,0.6271568627450981,0.04052436482611154,msdl,tangent,f_class
50,0.6320784313725489,0.051443985655572205,msdl,tangent,f_class
51,0.6270588235294118,0.04906672245621423,msdl,tangent,f_class
52,0.6171568627450981,0.055944873866663934,msdl,tangent,f_class
53,0.6160196078431374,0.05796524499272397,msdl,tangent,f_class
54,0.6270980392156863,0.04831030354573728,msdl,tangent,f_class
55,0.6330392156862745,0.05047366948255514,msdl,tangent,f_class
56,0.6290392156862744,0.04946491461407547,msdl,tangent,f_class
57,0.6260588235294117,0.04038382266960654,msdl,tangent,f_class
58,0.6240588235294118,0.05620888774828468,msdl,tangent,f_class
59,0.6261764705882353,0.04891253010928445,msdl,tangent,f_class
60,0.6310588235294118,0.054686425663638585,msdl,tangent,f_class
61,0.6341372549019607,0.05888561755982327,msdl,tangent,f_class
62,0.6320980392156863,0.07121648796732828,msdl,tangent,f_class
63,0.6361372549019608,0.0655682902937199,msdl,tangent,f_class
64,0.6380588235294117,0.06352042117453195,msdl,tangent,f_class
65,0.6271176470588234,0.06424141379549235,msdl,tangent,f_class
66,0.6321960784313726,0.05683094445455818,msdl,tangent,f_class
67,0.6301568627450981,0.06536155029391742,msdl,tangent,f_class
68,0.6261764705882352,0.0561465546733872,msdl,tangent,f_class
69,0.6252941176470588,0.0576484593667403,msdl,tangent,f_class
70,0.6262156862745097,0.060072879613448725,msdl,tangent,f_class
