Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.5655098039215686,0.033285022661311385,BASC064,tangent,MI
2,0.5685098039215687,0.023951957553927157,BASC064,tangent,MI
3,0.5783529411764705,0.042041995810911566,BASC064,tangent,MI
4,0.5861960784313726,0.04993068628904358,BASC064,tangent,MI
5,0.5753333333333333,0.061518450891394315,BASC064,tangent,MI
6,0.583294117647059,0.059466667183887524,BASC064,tangent,MI
7,0.5803333333333334,0.052963397660402665,BASC064,tangent,MI
8,0.5824705882352943,0.060423101315853635,BASC064,tangent,MI
9,0.5793921568627451,0.04113213766561025,BASC064,tangent,MI
10,0.5682549019607844,0.060053638077695023,BASC064,tangent,MI
11,0.5683725490196079,0.03860007490137017,BASC064,tangent,MI
12,0.5534117647058824,0.04384895959094999,BASC064,tangent,MI
13,0.5812941176470587,0.045106410135302484,BASC064,tangent,MI
14,0.5773921568627451,0.03624058296857741,BASC064,tangent,MI
15,0.5673921568627451,0.04451093114233005,BASC064,tangent,MI
16,0.5781372549019609,0.06605185070783427,BASC064,tangent,MI
17,0.5852745098039216,0.05602118633119646,BASC064,tangent,MI
18,0.5901568627450982,0.05617774012184898,BASC064,tangent,MI
19,0.5812156862745098,0.057409728882794775,BASC064,tangent,MI
20,0.5704117647058824,0.04098024673958624,BASC064,tangent,MI
21,0.5950784313725489,0.06443875042789825,BASC064,tangent,MI
22,0.5802941176470587,0.05322929948554317,BASC064,tangent,MI
23,0.5851960784313726,0.05552837666588156,BASC064,tangent,MI
24,0.5812156862745097,0.05251680311829228,BASC064,tangent,MI
25,0.5940980392156863,0.05798775209077627,BASC064,tangent,MI
26,0.5951176470588236,0.05215770676008825,BASC064,tangent,MI
27,0.6001372549019608,0.04189715259557707,BASC064,tangent,MI
28,0.6170196078431373,0.05330108598342709,BASC064,tangent,MI
29,0.6170392156862745,0.055718676709484535,BASC064,tangent,MI
30,0.6121568627450981,0.05063085300153658,BASC064,tangent,MI
31,0.6149019607843138,0.0695289804571739,BASC064,tangent,MI
32,0.6189803921568628,0.052808606710595375,BASC064,tangent,MI
33,0.6239411764705882,0.05204628186137796,BASC064,tangent,MI
34,0.6179803921568628,0.05252443454744684,BASC064,tangent,MI
35,0.616,0.0658171479381069,BASC064,tangent,MI
36,0.6169411764705883,0.07339837736154635,BASC064,tangent,MI
37,0.6369019607843137,0.059375631282182026,BASC064,tangent,MI
38,0.6290196078431374,0.04966872184813008,BASC064,tangent,MI
39,0.6300588235294118,0.05561809206141555,BASC064,tangent,MI
40,0.6290196078431372,0.04762914211674818,BASC064,tangent,MI
41,0.6420392156862745,0.04385255432205759,BASC064,tangent,MI
42,0.6380392156862744,0.04716075561772147,BASC064,tangent,MI
43,0.6260588235294118,0.045810690642716034,BASC064,tangent,MI
44,0.6389019607843138,0.05452596741594905,BASC064,tangent,MI
45,0.6468627450980391,0.04659386313139439,BASC064,tangent,MI
46,0.6418431372549019,0.055431979438613714,BASC064,tangent,MI
47,0.6299215686274511,0.05244819123975023,BASC064,tangent,MI
48,0.6279607843137254,0.054672503697152784,BASC064,tangent,MI
49,0.6309411764705882,0.05613851162530769,BASC064,tangent,MI
50,0.6299411764705882,0.05085376808620906,BASC064,tangent,MI
51,0.6339803921568627,0.049841197259417935,BASC064,tangent,MI
52,0.6439411764705882,0.047638460452283135,BASC064,tangent,MI
53,0.6439215686274511,0.05323440941019094,BASC064,tangent,MI
54,0.6419215686274511,0.048032716647219836,BASC064,tangent,MI
55,0.6349999999999999,0.05333796476430275,BASC064,tangent,MI
56,0.6537647058823529,0.05050675913365769,BASC064,tangent,MI
57,0.6499019607843137,0.04306493492113545,BASC064,tangent,MI
58,0.654843137254902,0.05027070509600669,BASC064,tangent,MI
59,0.648843137254902,0.0535002039111192,BASC064,tangent,MI
60,0.6559019607843137,0.03948402798568842,BASC064,tangent,MI
