Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.5464509803921568,0.0468097534502156,harvard_oxford,tangent,MI
2,0.5614509803921568,0.055857868733270685,harvard_oxford,tangent,MI
3,0.5641764705882353,0.0672233419348092,harvard_oxford,tangent,MI
4,0.5703529411764706,0.06024458670151064,harvard_oxford,tangent,MI
5,0.5814705882352941,0.04664501474969877,harvard_oxford,tangent,MI
6,0.5862549019607843,0.04987376991764077,harvard_oxford,tangent,MI
7,0.5982156862745098,0.04279790316343157,harvard_oxford,tangent,MI
8,0.596313725490196,0.030396938270311855,harvard_oxford,tangent,MI
9,0.6023725490196079,0.01969108799835641,harvard_oxford,tangent,MI
10,0.6003725490196079,0.026851357254147317,harvard_oxford,tangent,MI
11,0.6032549019607844,0.028468967706270425,harvard_oxford,tangent,MI
12,0.5942941176470589,0.02915633529330265,harvard_oxford,tangent,MI
13,0.6034117647058823,0.031087083597986818,harvard_oxford,tangent,MI
14,0.6172745098039216,0.03267533369006378,harvard_oxford,tangent,MI
15,0.6211372549019608,0.03836416692844771,harvard_oxford,tangent,MI
16,0.6251568627450981,0.031816473188693586,harvard_oxford,tangent,MI
17,0.6182745098039215,0.034348195571579206,harvard_oxford,tangent,MI
18,0.6072745098039216,0.03141583411010323,harvard_oxford,tangent,MI
19,0.6132745098039216,0.02658509004474929,harvard_oxford,tangent,MI
20,0.6143333333333334,0.04482590098884511,harvard_oxford,tangent,MI
21,0.6182941176470589,0.04645925649875955,harvard_oxford,tangent,MI
22,0.6123529411764707,0.02882886438555741,harvard_oxford,tangent,MI
23,0.6063333333333334,0.02768292069893787,harvard_oxford,tangent,MI
24,0.6042549019607845,0.02875342281080947,harvard_oxford,tangent,MI
25,0.6121568627450981,0.03989779329780787,harvard_oxford,tangent,MI
26,0.5992745098039215,0.032523738114580085,harvard_oxford,tangent,MI
27,0.6092156862745098,0.03483823219030106,harvard_oxford,tangent,MI
28,0.5942352941176471,0.04219489392608178,harvard_oxford,tangent,MI
29,0.6001176470588235,0.03740200061673925,harvard_oxford,tangent,MI
30,0.5962745098039216,0.030944257904662695,harvard_oxford,tangent,MI
31,0.5942745098039215,0.04305793063112212,harvard_oxford,tangent,MI
32,0.5823529411764706,0.04168592403888605,harvard_oxford,tangent,MI
33,0.5794509803921569,0.03680938983894275,harvard_oxford,tangent,MI
34,0.5784509803921569,0.03800508373691679,harvard_oxford,tangent,MI
35,0.5704705882352942,0.04671361948393928,harvard_oxford,tangent,MI
36,0.5753137254901961,0.045788612973608436,harvard_oxford,tangent,MI
37,0.5712941176470588,0.044011043317235585,harvard_oxford,tangent,MI
38,0.5743725490196079,0.03285891338979448,harvard_oxford,tangent,MI
39,0.5694509803921569,0.035636660188688746,harvard_oxford,tangent,MI
40,0.5645294117647058,0.03531747048764279,harvard_oxford,tangent,MI
41,0.574392156862745,0.035434817589171434,harvard_oxford,tangent,MI
42,0.566392156862745,0.04259265856493785,harvard_oxford,tangent,MI
43,0.5762941176470588,0.047237280092388034,harvard_oxford,tangent,MI
44,0.5782352941176472,0.047636729292646486,harvard_oxford,tangent,MI
45,0.5642745098039217,0.05404213259437438,harvard_oxford,tangent,MI
46,0.5572941176470588,0.060367183530179676,harvard_oxford,tangent,MI
47,0.5672745098039215,0.04953357612164391,harvard_oxford,tangent,MI
48,0.5604509803921568,0.03806942907661141,harvard_oxford,tangent,MI
49,0.5703921568627451,0.04965517388684868,harvard_oxford,tangent,MI
50,0.5733333333333334,0.03804831102098229,harvard_oxford,tangent,MI
51,0.5584705882352939,0.046462628589439635,harvard_oxford,tangent,MI
52,0.577313725490196,0.04304527180581626,harvard_oxford,tangent,MI
53,0.5892745098039216,0.05053676131808744,harvard_oxford,tangent,MI
54,0.5813529411764706,0.05331685515336429,harvard_oxford,tangent,MI
55,0.5703725490196078,0.05842804635880947,harvard_oxford,tangent,MI
56,0.5783529411764705,0.05384944909664632,harvard_oxford,tangent,MI
57,0.5812352941176471,0.0444281058972565,harvard_oxford,tangent,MI
58,0.5951176470588235,0.05289703679172999,harvard_oxford,tangent,MI
59,0.5980784313725491,0.0561427575669409,harvard_oxford,tangent,MI
60,0.5892549019607843,0.06082754945565125,harvard_oxford,tangent,MI
61,0.589235294117647,0.0574709494840835,harvard_oxford,tangent,MI
62,0.5894313725490196,0.0517790718330519,harvard_oxford,tangent,MI
63,0.5875098039215687,0.05268799664428618,harvard_oxford,tangent,MI
64,0.5805490196078431,0.05034176163231201,harvard_oxford,tangent,MI
65,0.5833333333333333,0.04536197277043325,harvard_oxford,tangent,MI
66,0.5823921568627451,0.05582734134384774,harvard_oxford,tangent,MI
67,0.5783725490196079,0.0531419612994262,harvard_oxford,tangent,MI
68,0.5694901960784315,0.061267039544633035,harvard_oxford,tangent,MI
69,0.5734509803921568,0.05175105286378792,harvard_oxford,tangent,MI
70,0.5833333333333333,0.04304026529605845,harvard_oxford,tangent,MI
71,0.5832745098039215,0.04229044499403092,harvard_oxford,tangent,MI
72,0.5773529411764706,0.043853610766270125,harvard_oxford,tangent,MI
73,0.5823137254901961,0.04349422708028966,harvard_oxford,tangent,MI
74,0.5823333333333334,0.04207684608603027,harvard_oxford,tangent,MI
75,0.5842941176470589,0.053870168014610254,harvard_oxford,tangent,MI
76,0.5793137254901961,0.049017823496936064,harvard_oxford,tangent,MI
77,0.5930784313725491,0.05955112433089262,harvard_oxford,tangent,MI
78,0.6060784313725489,0.05481049804450055,harvard_oxford,tangent,MI
79,0.5901568627450982,0.04858598801557338,harvard_oxford,tangent,MI
80,0.5872352941176471,0.05795147382038384,harvard_oxford,tangent,MI
81,0.5812941176470587,0.054422147039854346,harvard_oxford,tangent,MI
82,0.5872352941176471,0.04996819057364545,harvard_oxford,tangent,MI
83,0.5862156862745099,0.04584463423644843,harvard_oxford,tangent,MI
84,0.594156862745098,0.04797697448504,harvard_oxford,tangent,MI
85,0.5851960784313726,0.0532980167094382,harvard_oxford,tangent,MI
86,0.5950980392156863,0.054411959017494405,harvard_oxford,tangent,MI
87,0.5981372549019608,0.04387622396701882,harvard_oxford,tangent,MI
88,0.5941960784313725,0.041463908051410286,harvard_oxford,tangent,MI
89,0.5872745098039217,0.041038372530989936,harvard_oxford,tangent,MI
90,0.5982549019607843,0.029475545223858923,harvard_oxford,tangent,MI
91,0.5983333333333333,0.02428765996877713,harvard_oxford,tangent,MI
92,0.5962549019607842,0.03093623683823954,harvard_oxford,tangent,MI
93,0.5992941176470589,0.023497887378760227,harvard_oxford,tangent,MI
94,0.5942941176470588,0.027708518809379988,harvard_oxford,tangent,MI
95,0.5923529411764706,0.02041740518401613,harvard_oxford,tangent,MI
96,0.5922745098039216,0.031197699024962288,harvard_oxford,tangent,MI
97,0.5981960784313725,0.030766549139347236,harvard_oxford,tangent,MI
98,0.597235294117647,0.03624455042625983,harvard_oxford,tangent,MI
99,0.5972352941176471,0.040834476127406975,harvard_oxford,tangent,MI
100,0.6001960784313727,0.03329028361951722,harvard_oxford,tangent,MI
