Percentile,Mean_Accuracy,Std_Accuracy,Atlas,Matrix,FSM
1,0.5477254901960784,0.03591182760294899,msdl,tangent,MI
2,0.5588823529411765,0.046785566934220216,msdl,tangent,MI
3,0.5826078431372549,0.05306463817536886,msdl,tangent,MI
4,0.5835882352941175,0.05055235465655946,msdl,tangent,MI
5,0.5696470588235295,0.04590168856868298,msdl,tangent,MI
6,0.5804901960784312,0.05542317368636216,msdl,tangent,MI
7,0.5834313725490197,0.04775339139631925,msdl,tangent,MI
8,0.5892941176470589,0.05875886641971272,msdl,tangent,MI
9,0.5952941176470589,0.051967369172103976,msdl,tangent,MI
10,0.5852745098039216,0.04475310972937888,msdl,tangent,MI
11,0.5992549019607843,0.03958694847814884,msdl,tangent,MI
12,0.5961960784313726,0.040379609701700535,msdl,tangent,MI
13,0.6031960784313725,0.05343459605315008,msdl,tangent,MI
14,0.6112549019607842,0.04172539805385668,msdl,tangent,MI
15,0.6062941176470589,0.05604033053680497,msdl,tangent,MI
16,0.6142745098039215,0.06451241427461983,msdl,tangent,MI
17,0.6122941176470588,0.06677931946830931,msdl,tangent,MI
18,0.6033725490196079,0.059330935762763735,msdl,tangent,MI
19,0.6144313725490196,0.06638187150331762,msdl,tangent,MI
20,0.6003333333333333,0.049646737445913316,msdl,tangent,MI
21,0.6013921568627452,0.04279368079196647,msdl,tangent,MI
22,0.6013921568627452,0.05250279280757507,msdl,tangent,MI
23,0.5974117647058824,0.04673094929971895,msdl,tangent,MI
24,0.5984705882352942,0.05745886314120244,msdl,tangent,MI
25,0.6023137254901962,0.054738397814600825,msdl,tangent,MI
26,0.6102745098039215,0.0515077699502137,msdl,tangent,MI
27,0.5853529411764706,0.06407782237452705,msdl,tangent,MI
28,0.5912941176470589,0.0461294836084006,msdl,tangent,MI
29,0.5864313725490197,0.056103436081730816,msdl,tangent,MI
30,0.5785490196078431,0.06859243924828735,msdl,tangent,MI
31,0.5785686274509804,0.06891034410593343,msdl,tangent,MI
32,0.5863725490196079,0.05701044037208172,msdl,tangent,MI
33,0.5773725490196078,0.06611340204547722,msdl,tangent,MI
34,0.5794117647058824,0.06362054707400869,msdl,tangent,MI
35,0.5724509803921568,0.06606628444821158,msdl,tangent,MI
36,0.5595294117647059,0.05976123195091161,msdl,tangent,MI
37,0.5644901960784314,0.07278617570725153,msdl,tangent,MI
38,0.5634509803921569,0.06015034348702486,msdl,tangent,MI
39,0.5605686274509805,0.05850314384110121,msdl,tangent,MI
40,0.5724313725490197,0.06318736289544685,msdl,tangent,MI
41,0.5773137254901961,0.06426648492175673,msdl,tangent,MI
42,0.5872745098039215,0.07407081464698688,msdl,tangent,MI
43,0.5932745098039216,0.05904650875435762,msdl,tangent,MI
44,0.5894313725490196,0.05880780508788044,msdl,tangent,MI
45,0.5964509803921568,0.048855210604699335,msdl,tangent,MI
46,0.581549019607843,0.05388465403083763,msdl,tangent,MI
47,0.5855490196078431,0.05272585478840538,msdl,tangent,MI
48,0.5845686274509803,0.060238220542678765,msdl,tangent,MI
49,0.5935490196078431,0.05191151567271637,msdl,tangent,MI
50,0.5924509803921569,0.05874676363512225,msdl,tangent,MI
51,0.5885098039215686,0.058954572988686414,msdl,tangent,MI
52,0.5944509803921567,0.06153458844242748,msdl,tangent,MI
53,0.5974117647058824,0.05315568741874786,msdl,tangent,MI
54,0.6054313725490197,0.051685846795219176,msdl,tangent,MI
55,0.6173137254901961,0.0496045918488148,msdl,tangent,MI
56,0.6063921568627452,0.06612177550900232,msdl,tangent,MI
57,0.6074313725490196,0.07415723862162492,msdl,tangent,MI
58,0.6084509803921568,0.06931185065551064,msdl,tangent,MI
59,0.6064313725490196,0.06340388227531261,msdl,tangent,MI
60,0.6054509803921568,0.05971055392394114,msdl,tangent,MI
61,0.6014705882352942,0.05628504717904846,msdl,tangent,MI
